iter	Logloss
0	0.6930953999
1	0.6930512707
2	0.6930028492
3	0.692949501
4	0.6928877616
5	0.6928344278
6	0.6927810448
7	0.6927296452
8	0.6926730162
9	0.692635799
10	0.6925785787
11	0.6925369435
12	0.6924832462
13	0.6924311073
14	0.6923835167
15	0.6923249549
16	0.6922675399
17	0.6922106378
18	0.6921688855
19	0.6921181316
20	0.6920682293
21	0.6920225599
22	0.6919792273
23	0.6919293255
24	0.6918733422
25	0.691811036
26	0.6917551798
27	0.6917030112
28	0.6916503639
29	0.6916005246
30	0.6915487228
31	0.6914799781
32	0.6914325109
33	0.6913735074
34	0.6913273856
35	0.6912851242
36	0.6912180013
37	0.691157551
38	0.6911020422
39	0.6910533023
40	0.6910079498
41	0.690952788
42	0.6908927935
43	0.690849917
44	0.6907967214
45	0.6907437325
46	0.6906867508
47	0.6906386048
48	0.6905818634
49	0.6905244048
50	0.6904834696
51	0.6904368978
52	0.6903772742
53	0.6903159479
54	0.6902701974
55	0.6902084418
56	0.6901603116
57	0.6901037746
58	0.6900537414
59	0.6899963468
60	0.6899377642
61	0.6898789159
62	0.6898318826
63	0.6897787979
64	0.68972322
65	0.6896786739
66	0.6896233641
67	0.6895608789
68	0.6895019195
69	0.6894499916
70	0.6894013206
71	0.6893517855
72	0.6892998255
73	0.6892471782
74	0.6891938479
75	0.6891309712
76	0.6890758536
77	0.6890214396
78	0.6889696478
79	0.6889174818
80	0.6888613799
81	0.6888103702
82	0.6887597597
83	0.6887163751
84	0.6886671825
85	0.6886108713
86	0.6885483755
87	0.688496213
88	0.6884483248
89	0.6883913588
90	0.6883374793
91	0.6882739978
92	0.6882159779
93	0.688175516
94	0.6881269415
95	0.688073841
96	0.6880325378
97	0.6879874866
98	0.6879463345
99	0.6879077483
100	0.6878468438
101	0.6877909231
102	0.6877383419
103	0.6876871957
104	0.687633422
105	0.6875869463
106	0.6875299604
107	0.6874848213
108	0.687439006
109	0.6873888956
110	0.6873364058
111	0.6872837458
112	0.6872307247
113	0.6871703516
114	0.687111772
115	0.6870657713
116	0.6870245781
117	0.686982697
118	0.6869299521
119	0.6868890761
120	0.686838659
121	0.6867847689
122	0.6867235216
123	0.6866770183
124	0.6866406873
125	0.6865966597
126	0.6865567174
127	0.6865006219
128	0.6864513425
129	0.6863911377
130	0.6863453799
131	0.6862862684
132	0.6862292282
133	0.6861684569
134	0.6861150132
135	0.6860636954
136	0.6860168064
137	0.685967905
138	0.6859170162
139	0.6858636938
140	0.6858043901
141	0.6857479237
142	0.6856984772
143	0.6856394159
144	0.6855872804
145	0.6855393257
146	0.6854910092
147	0.6854337704
148	0.6853790488
149	0.685327194
150	0.6852760806
151	0.6852414106
152	0.6851853957
153	0.6851332555
154	0.6850859313
155	0.6850312311
156	0.6849763069
157	0.6849298066
158	0.6848694524
159	0.6848180732
160	0.6847720357
161	0.68471463
162	0.6846536829
163	0.6845935302
164	0.6845570097
165	0.684503553
166	0.6844631032
167	0.6844141703
168	0.6843564623
169	0.6843052779
170	0.6842462887
171	0.6841921188
172	0.6841391307
173	0.6840852469
174	0.6840380658
175	0.6839792816
176	0.6839310634
177	0.6838704519
178	0.683827171
179	0.6837900615
180	0.6837338004
181	0.6836905292
182	0.6836414541
183	0.6836000844
184	0.683562762
185	0.6835101193
186	0.6834524731
187	0.6833974411
188	0.6833448123
189	0.6832891544
190	0.6832326201
191	0.683174541
192	0.683128059
193	0.6830759123
194	0.6830340333
195	0.6829782177
196	0.6829327359
197	0.6828802103
198	0.6828375209
199	0.6827818989
200	0.68272845
201	0.6826790176
202	0.6826199715
203	0.6825566928
204	0.6825071332
205	0.6824581369
206	0.6824106325
207	0.6823485531
208	0.6822925695
209	0.6822380854
210	0.6821811363
211	0.6821296165
212	0.682085871
213	0.6820283196
214	0.6819775303
215	0.6819308982
216	0.6818776299
217	0.6818263593
218	0.6817701504
219	0.6817251666
220	0.6816851966
221	0.6816391358
222	0.681595287
223	0.6815415655
224	0.6814857212
225	0.6814340277
226	0.6813930721
227	0.6813430107
228	0.6812927808
229	0.6812410693
230	0.6811929842
231	0.6811352294
232	0.6810770615
233	0.6810270229
234	0.6809778704
235	0.6809259134
236	0.6808701474
237	0.6808192639
238	0.6807749754
239	0.6807143501
240	0.6806600813
241	0.6806096456
242	0.6805589486
243	0.6805208507
244	0.6804635182
245	0.6804115231
246	0.6803600711
247	0.6803047662
248	0.6802651136
249	0.6802123908
250	0.6801668738
251	0.6801127633
252	0.6800741281
253	0.6800290702
254	0.6799726343
255	0.6799253776
256	0.6798810437
257	0.6798280714
258	0.6797851725
259	0.6797460098
260	0.6796897187
261	0.6796413884
262	0.6795961003
263	0.6795406072
264	0.6794816309
265	0.6794177147
266	0.6793681346
267	0.6793265142
268	0.6792751763
269	0.6792326292
270	0.6791803824
271	0.679134576
272	0.6790830002
273	0.6790306691
274	0.6789670937
275	0.6789201321
276	0.6788728451
277	0.6788357558
278	0.6787823003
279	0.678732484
280	0.6786800993
281	0.6786315115
282	0.6785868971
283	0.6785426632
284	0.6784900769
285	0.6784324251
286	0.67839317
287	0.6783500924
288	0.6783055217
289	0.6782521886
290	0.6782299982
291	0.6781740632
292	0.6781255426
293	0.678072611
294	0.6780219922
295	0.6779791425
296	0.6779234364
297	0.6778724188
298	0.6778147776
299	0.6777677869
300	0.6777153102
301	0.6776744769
302	0.6776216082
303	0.6775634822
